restaurant,pizza,toppings,address,hours,details
LoveVerona,The Butcher Pie,"Tomato Sauce, Pepperoni, Bacon, Prosciutto, House Made Italian Sausage, Romano Cheese",8436 N Ivanhoe St.,10am - 2am & 540 SW College St. / 10am - 2am,"Allow Minors? Yes
Allow Takeout? Yes
Allow Delivery? Yes - Uber Eats, Door Dash, GrubHub, Slice
Purchase Limit? No
Meat or Vegetarian? Meat
Available By The Slice Or As A Whole Pizza? Whole Pizza"
Meta Pizza,Me and Luigi,"Red sauce, Calabrian chili, garlic, rapini, Italian sausage, seasoned ricotta, pecorino romano","3541 SE Milwaulkie Ave, Portland, OR.","Tuesday - Sunday, 3pm-8pm Friday and Saturday till 9pm.","Allow Minors? Yes
Allow Takeout? Yes
Allow Delivery? Yes - Delivery Available on Whole Pies Only - Door Dash, Uber Eats, Grub Hub.
Purchase Limit? Yes - 2 per person
Meat or Vegetarian? Meat
Available By The Slice Or As A Whole Pizza? Both"
Mississippi Pizza Pub and Atlantis Lounge,Field of Dreams,"Caramelized onion sauce, a layer of Nutritional yeast, sea salt, zucchini, mushrooms, red onion, italian field roast, and fresh basil.",3552 N Mississippi Ave,"Sunday- Thurs 11-11pm, Friday & Saturday 11-midnight.","Allow Minors? Yes
Allow Takeout? Yes
Allow Delivery? No
Purchase Limit? Yes - 4 slices or 2 Whole Pizzas
Meat or Vegetarian? Vegan
Available By The Slice Or As A Whole Pizza? Both"
Old Town Brewing,Peppabbiata,"Spicy marinara with Serrano peppers, topped with fresh mozzarella, pepperoni, basil, parmesan, and olive oil.",5201 NE Martin Luther King Jr Blvd,"4-9 Monday-Thursday, 3-9 Friday, 12-9 Saturday, 4-9 Sunday","Allow Minors? Yes
Allow Takeout? Yes
Allow Delivery? No
Purchase Limit? Yes - 2 slices per person
Meat or Vegetarian? Meat
Available By The Slice Or As A Whole Pizza? Slice"
Pacific Crust Pizza Co,Alpine Spring,"Beer cheese white sauce, spring onion, potatoes, Fontina cheese, asparagus, Boar bacon, parsley, capers, egg",1 SW 3rd Ave.,11am-2:30am every day,"Allow Minors? Yes
Allow Takeout? No
Allow Delivery? No
Purchase Limit? No
Meat or Vegetarian? Meat
Available By The Slice Or As A Whole Pizza? Slice"
Paladin Pie,Birria Barbarian (feat. Mole Mole),"Our two-day fermented sourdough crust topped with our cart pod neighbor Mole Mole's slow-roasted beef birria, mozzarella, cilantro, and red onion, served alongside their rich consommé to dip your slice in.",2231 NE Alberta St,11 AM - 10 PM Wednesday - Sunday,"Allow Minors? Yes
Allow Takeout? Yes
Allow Delivery? No
Purchase Limit? No
Meat or Vegetarian? Meat
Available By The Slice Or As A Whole Pizza? Both"
PIZZA KAT,THE TWICE BAKED!,"Roasted Yukon Golds, Bacon, Rogue Creamery Smokey Blue, Mozzarella, Crème Fraîche, Pecorino Romano and Fresh Chives",2174 W Burnside St,Wednesday through Saturday 4-8pm,"Allow Minors? Yes
Allow Takeout? Yes
Allow Delivery? Yes
Purchase Limit? No
Meat or Vegetarian? Meat
Available By The Slice Or As A Whole Pizza? Both"
Pizza Thief,Highway 99,"Built on our sourdough whole grain crust, roasted Chile Verde sauce, braised pork shoulder, Monterey jack cheese, garnished with Cotija, jalepeno and radish.",2610 NW Vaughn Street,Wednesday thru Monday from 12-9pm,"Allow Minors? Yes
Allow Takeout? Yes
Allow Delivery? Yes - CCC-PDX is our sole delivery provider for a limited area within NW Portland.
Purchase Limit? Yes - Limit one pie per customer for dining-in or take-out/delivery
Meat or Vegetarian? Meat
Available By The Slice Or As A Whole Pizza? Both"
Red Sauce Pizza,Big Daddy Bolognese,"Mozzarella, pecorino, grana, fresh basil, pepperoncini, bolognese sauce",4641 NE Fremont St,"4-8pm, Sun-Thurs. 4-8:30pm, Fri and Sat.","Allow Minors? Yes
Allow Takeout? Yes
Allow Delivery? Yes - Door Dash
Purchase Limit? No
Meat or Vegetarian? Meat
Available By The Slice Or As A Whole Pizza? Whole Pizza"
Secret Pizza Society,The Kikimora,"Breaded jalapeno and crumbled meatballs, with a cream cheese and topped with spicy tomato basil drizzle and crispy onion",7201 NE Glisan St,1pm-9pm,"Allow Minors? Yes
Allow Takeout? Yes
Allow Delivery? No
Purchase Limit? Yes - 2 pizzas per customer
Meat or Vegetarian? Vegan
Available By The Slice Or As A Whole Pizza? Both"
SFNY - Belmont,Bacon My Way Downtown,"Bacon strips, chopped dates, herb goat cheese spread, sriracha infused honey, fresh thyme",3330 SE Belmont,Sun - Thurs 11am-12am Fri - Sat 11am-2am,"Allow Minors? Yes
Allow Takeout? Yes
Allow Delivery? No
Purchase Limit? Max (1) per customer, slice or whole pie
Meat or Vegetarian? Meat
Available By The Slice Or As A Whole Pizza? Both"
SFNY - Hawthorne,James and the Giant Slice,"Proscuitto, Roasted Peaches, Chèvre, Balsamic Reduction, Basil",3701 SE Hawthorne Blvd,Everyday 11am-10pm,"Allow Minors? Yes
Allow Takeout? Yes
Allow Delivery? No
Purchase Limit? Yes - 1 per person (Whole pizza or slice)
Meat or Vegetarian? Meat
Available By The Slice Or As A Whole Pizza? Both"
SFNY - West Burnside,I Would Do Anything for Loaf,"Meatloaf sauce, sliced meatballs, mashed potatoes, lemon zest, parsley",2241 W Burnside St,11am-10pm,"Allow Minors? Yes
Allow Takeout? Yes
Allow Delivery? No
Purchase Limit? Max (1) per customer, slice or whole pie
Meat or Vegetarian? Meat
Available By The Slice Or As A Whole Pizza? Both"
Sunny's Pizza,The Sunny's Steakhouse,"Marinated flank steak, roasted mushroom, roasted bell pepper, roasted onion, and mozzarella on a tomato base",7738 SE 13th Ave,"4pm-9pm Monday/Tuesday, 12pm-10pm Wednesday-Sunday","Allow Minors? Yes
Allow Takeout? Yes
Allow Delivery? Yes - Grub Hub
Purchase Limit? Yes - 2 slices or 1 whole pizza per person
Meat or Vegetarian? Meat
Available By The Slice Or As A Whole Pizza? Both"
Via Chicago,Spanakopita,"Spinach, garlic, onions, feta, and mint!",2013 NE Alberta,"Mon 12-8, Tues-Thur 12-9, Fri-Sat 12-10, Sun 12-8.","Allow Minors? Yes
Allow Takeout? Yes
Allow Delivery? No
Purchase Limit? Yes - 2 per person
Meat or Vegetarian? Vegetarian
Available By The Slice Or As A Whole Pizza? Both"
