pizza,restaurant,toppings,description,address,hours,meat_veggie,veggie_sub,vegan_sub,gf,gf_sub,whole_slice,minors,takeout,delivery,purchase_limit,availability_limit
Hit Me Bánh mì One More Time,Signal Station Pizza,"Confit garlic and ginger base, marinated chicken with garlic, soy, and ginger, and mozzarella topped with house pickled Carrot and Daikon, fresh cucumber, jalapeño and cilantro",It's Bánh mì b***h,"8302 N Lombard , Portland, OR",Mon-Thu 11am-9pm / Fri-Sat 11am-9:30pm / Sunday 12pm-8pm,Meat,No,No,No,No,Both,Yes,Yes,Yes,2 slices per person,No
Return to the 36 Chambers,Sizzle Pie,"Olive Oil base, Signature Cheese Blend, Cilantro Pepita Pesto & Ricotta",Bring the Ruckus! Sizzle Pie is going old school with the Return to the 36 Chambers. This throwback pie has dollops of Cilantro Pepito Pesto that is bright and balanced with a hint of crunch finished with silky smooth Grande Sopraffina Ricotta.,"949 SW Oak. , Portland, OR",11AM-Midnight Daily,Vegetarian,NA,No,No,No,Both,Yes,Yes,Yes,No,No
"Peace, Love, & Parm",Society Pie,"Red Sauce, 100% Mozzarella, Cup n' Char Pepperoni, Shaved Parm, Fresh Basil, Balsamic Glaze served on our House Made 72-hour Cold Fermented Dough","Society Pie is a neighborhood family owned and operated pizzeria serving up quality pies with locations in Beaverton, Tanasbourne, and 3 locations at Providence Park. The '""Peace, Love, & Parm"" is a spin on their popular 'The Big Parm' pizza jazzed up with Cup n' Char Pep and Balsamic Glaze.","8410 SW Nimbus Ave, Beaverton, OR",Mon-Fri 11am-7pm / Sat-Sun 4pm-7pm,Meat,Yes,No,No,"Yes, not available for slices. 12"" Whole Pie = $16",Both,Yes,Yes,No,No,Dine-In or Take Out Only
Kenny's Munchie Run,Sparky's Pizza,"Mozzarella cheese, bacon, peas, corn, black olives, carrots, red onions, Flamin’ Hot Funyuns and avocado lime ranch on a red sauce base.","It’s Kenny’s turn for the munchie run….what do you guys want?“Pizzas. We need two big pizzas man. Everything on them. With water, whole lot of water. And…Funyuns.”“That’s it? Anyone want anything else?”And hey! If you can’t find parking within 10 minutes go to Domino's (we have the worst parking in Portland).","7530 NE MLK Blvd. , Portland, OR",Mon-Fri 10:30am-9pm / Saturday 11am-9pm / Sunday 12pm-9pm,Meat,Yes,No,No,No,Both,Yes,Yes,Whole pies can be ordered for Delivery by DoorDash at sparkyspdx.com.,"Slices and whole pies can be ordered without meat. Limit 2 slices per person, no limit on whole pies.",No
The Interior Decorator,Sparky's Pizza,"Gabagool, basil, ricotta, cherry peppers, red onions, and hot honey on an olive oil and garlic base.","“You’re not going to believe this….the pizza we are looking for has gabagool, ricotta, cherry peppers, red onions and a hot honey drizzle. It’s The Interior Decorator.”“Pizza looks like sh*t.”","2434 NE MLK Blvd. , Portland, OR",Mon-Sat 11am-9pm / Sunday 12pm-9pm,Meat,Yes,No,No,No,Both,Yes,Yes,Whole pies can be ordered for Delivery by DoorDash at sparkyspdx.com,"Limit 2 slices per person, no limit on whole pies",No
bomb DOT pom,Straight From New York Pizza,"Roasted fennel, pancetta, pecorino romano, arugula, pomegranate glaze",SFNY Pizza! Just here to make some friends. My Top 8 changes constantly so don’t take it personal! You might be my #1 tomorrow ;)✧·ﾟ:*✧·ﾟ:* \(◕‿◕✿)/ *:·ﾟ✧*:·ﾟ✧,"3330 SE Belmont St. , Portland, OR",Mon–Thu 11 am–12am / Fri–Sat 11 am–2 am / Sun 11 am–12am,Meat,No,Yes,No,"Yes, +2.00 per 14"" Pizza",Both,Yes,Yes,No,Limit 2 slices per customer,"14"" Whole Pies available to order on our website or by phone (phone lines may be busy)"
Megan Thee Scallion,Straight From New York Pizza,"Shiitake mushrooms, daikon radish, braised beef, scallions, panko crumbs","Gobble me, swallow me. I said caramelized leek, seven days a week","3701 SE Hawthorne Blvd. , Portland, OR",Mon–Thu 11am–11pm / Fri–Sat 11am–12am / Sun 11am–11pm,Meat,No,Yes,No,"Yes, + 3.00 per 14"" whole pie",Both,Yes,Yes,No,"Limit 2 slices per customer. 14"" whole pies available to order on our website, or by phone (phone lines may be busy)",No
Ricotta Have It,Tartuca,"Green garlic ricotta, kale, Calabrian chili, mozzarella, garlic oil",Everything’s coming up Milhouse (and green garlic)! Our unique style of dough is always a base from which to explore the seasons of the PNW. We are so excited for Spring and all that it brings from the farm! Get here between 4-5:30 and double down with our happy hour!,"3951 N Mississippi Ave. , Portland, OR",Sun-Thu 4pm-8:30pm / Fri-Sat 4pm-9:30pm / Sunday 4pm-8:30pm. Pizza Week is offered at DINNER ONLY,Vegetarian,NA,No,No,"Yes, served as a 12"" square",Whole Pie,Yes,Yes,No,1 pie per party,Pizza Week is offered at DINNER ONLY
Chicken Satay Pizza,Taylor Street Tavern,"Satay Chicken, Thai peanut sauce, pickled daikon, toasted coconut, cilantro & red coconut curry drizzle",Inspired by my love of all things Thai Food and exploring the culture in northwest cuisine.,"808 SW Taylor St., Portland, OR","Monday through Friday Breakfast 7am-10am, Monday through Friday lunch 11am - 2 pm, Tuesday through Friday dinner 5pm-9pm, Saturday & Sunday Brunch 9am-2pm, Saturday Dinner 5pm-9pm",Meat,No,No,No,No,Whole Pie,Yes,Yes,No,No,No
Garden Variety Pig,The Blind Onion,"Fred's Red Sauce, Mozzarella, Bacon, Mushrooms, Tri-color Peppers and Garlic","On a sunny afternoon, as you take a stroll through your garden the lush beauty and the colors of your bounty catch your eye. You smell the barbecue going in your neighbor’s yard and you think to yourself, ""Yeah…I could eat."" This combination of delicious flavors and alluring colors are our inspiration for this year’s pizza, the Garden Variety Pig!","6031 SE Belmont St. , Portland, OR",Sun-Thu 11am - 9pm / Fri-Sat 11am - 10pm,Meat,Yes,Yes,No,"Yes, $6.75",Both,Yes,Yes,No,No,No
The Dream Scheme,The Secret Pizza Society,Chili-Mac (aka:grib) Sourcream Drizzle Green onions and Parsley,,"7201 NE Glisan St. , Portland, OR",Mon-Thu 11am-9pm / Fri-Sat 1pm-10pm / Sunday 1pm-9pm,Vegan,Yes,NA,No,"Yes, for an additional $3, whole pies only",Both,Yes,Yes,No,No,No
Pizza Verano,The Star,"Poblano, Corn, Tomatillo, Grape Tomatoes, Goat Cheese","We want to usher in the sunshine and summer vibes with this delicious pizza. Pair it up with one of our Signature cocktails, rotating local beers, or sommelier curated wines.","1309 NW Hoyt St. , Portland, OR",Sun-Thu 11:30am-9pm / Fri-Sat 11:30am-10pm,Vegetarian,NA,No,No,Yes,Whole Pie,Yes,Yes,No,No,No
Miss Vanjie,Via Chicago,"Poblano Pesto, roasted veggies, topped with a crunchy onion and chili oil sauce","She's spicy, She's full of attitude, and you won't be able to forget her!","2013 NE Alberta , Portland, OR",Monday 12pm-8pm / Tue-Thur 12pm-9pm / Fri-Sat 12pm-10pm / Sunday 12pm-8pm,Vegetarian,NA,No,No,No,Both,Yes,Yes,No,2 slices per diner,No
The Green Dragon,Virtuous Pie,"Curry Aioli, Cortido (slightly fermented carrots, cabbage, & onions), Walnut Chorizo, and Roasted Onion + Garlic Cashew Drizzle","Being inspired by fresh, bright plant based products. Wanting to bring pizza with color to the table that isn't a typical recipe people have had before.","1126 SE Division St Suite 200 , Portland, OR",Sun-Thu 11am-9pm / Fri-Sat 11am-10pm,Vegan,NA,NA,No,No,Both,Yes,Yes,No,Limit 3 slices per person,No
Korean BBQ Pie,Von Ebert Brewing,"Gochujang tomato sauce, Mozzarella, Kimchi, Bulgogi Marinated Beer + topped fresh kimchi + green onion",All our pies were inspired and collaborated from our teams across locations! You've got to try them all and let us know which we did best!!,"11800 NW Cedar Falls Dr #110 , Portland, OR",Sun-Thu 11:30am-9pm / Fri-Sat 11:30am-10pm,Meat,No,No,No,"Yes, for an additional $2, whole pie only",Both,Yes,Yes,No,No,No
Not Just for Pasta,Von Ebert Brewing,"Alfredo base, Mozzarella, Chicken, Red Onions, Bacon + Parsley",All our pies were inspired and collaborated from our teams across locations! You've got to try them all and let us know which we did best!!,"131 NW 13th Ave. , Portland, OR",Wed-Sun 12pm-9pm / Closed Mon-Tue,Meat,No,No,No,"Yes, for an additional $2, whole pie only",Both,Yes,Yes,No,No,No
Not Just for Hoagies,Von Ebert Brewing Pizzeria & Taproom,"Steak, Tomato, Arugula, Mozzarella + Red Sauce",All our pies were inspired and collaborated from our teams across locations! You've got to try them all and let us know which we did best!!,"10111 NE Cascades Pkwy. , Portland, OR",11am-9pm Daily,Meat,No,No,No,"Yes, for an additional $2, whole pie only",Both,Yes,Yes,No,No,No
Cubano Pie,Von Ebert East,"Spicy+tangy base, Swiss, Smoked Pork, Black Forest Ham, Pickles + Mojo Drizzle",All our pies were inspired and collaborated from our teams across locations! You've got to try them all and let us know which we did best!!,"14021 NE Glisan St,. , Portland, OR",11:30am-9pm Daily,Meat,No,No,No,"Yes, for an additional $2, whole pie only",Both,Yes,Yes,No,No,No
Aspara-Bliss Bruschetta,Wild Child Pizza and QD's Bar,"Roasted asparagus, red onions and garlic with a Romesco drizzle topped with basil and fresh parmesan","Asparagus is a sign of spring! It is a reminder of the bounty to come, but also that the winter is needed to rest and recharge. This is our take on a classic Italian Bruschetta recipe with our twist of a spicy Catalonian Romesco drizzle. A veggie option for all to enjoy.","1339 NW Flanders St. , Portland, OR",Mon-Wed 4pm-9pm / Thu-Sat 12pm-10pm / Sunday 12pm-9pm,Vegetarian,NA,Yes,No,No,Both,Yes,Yes,Yes,No,No
Aspara-Bliss Bruschetta,Wild Child Pizza and QD's Bar,"Roasted asparagus, red onions and garlic with a Romesco drizzle topped with basil and fresh parmesan","Asparagus is a sign of spring! It is a reminder of the bounty to come, but also that the winter is needed to rest and recharge. This is our take on a classic Italian Bruschetta recipe with our twist of a spicy Catalonian Romesco drizzle. A veggie option for all to enjoy.","2032 NE Alberta St. , Portland, OR",Mon-Wed 4pm-9pm / Thu 4pm-10pm / Fri 2pm-10pm / Saturday 12pm-10pm / Sunday 12pm-9pm,Vegetarian,NA,Yes,No,No,Both,Yes,Yes,Yes,No,No
