restaurant,burger,toppings,description,address_hours,JB_special,minors,takeout,delivery,purchase_limit,meat_veggie,gluten_free,veggie,vegan
Carina Lounge,Pepperoni Cheeseburger,"Fresh Ground Beef, Pepperoni, Provolone Cheese and a tomato and pickle Aioli","One night, I woke up with the idea of a Pepperoni BurgerLike a freight train runnin' through the middle of my headAnd Only it can cool my desireOh, oh, oh, the Pepperoni Burger is fire","410 NW 21st Ave / Wednesday-Thursday 4:30-9:00pm, Friday-Saturday 4:30-9:30pm, Sunday 4:30-8:00pm",NA,? Yes,? Yes,? No,? No,? Meat,? Yes,? No,? No
Church Bar,The Upside Down Pineapple,"A slice of pineapple fried in pancake batter, jalapeño's, pickles, cheddar Cheese, fried shoe string onions, bacon, beef patty with a raspberry chipotle BBQ Sauce on a toast brioche bun.",NA,"2600 NE Sandy Blvd / Monday-Thursday 12-9pm, Friday 12 pm-1:30am, Saturday-Sunday 12-3pm & 5pm-1:30am",A shot of Jim beam and a pint of Great Sex beer(Hazy or Lager) for $8,until 8pm daily,Yes,Yes,Yes,Meat,No,No,No
Clarklewis,Black & Blue,"Harris Ranch natural beef patty, Jim Beam Black & bacon marmalade, peach pickled zucchini, heirloom tomato, arugula, Rogue Creamery Caveman Blue cheese, house made challah bun","Bourbon, Bacon, & Blue Cheese - what could be a better combination? When you add in juicy Harris Ranch beef, a pillowy soft challah bun, fresh heirloom tomatoes, and zucchini - you have a burger that screams summer. All of the backyard barbecue with none of the hangover! A small burger featuring big flavors & local farms!","1001 SE Water Ave / Monday-Thursday 4-9pm, Friday-Saturday 4-10pm, Sunday 4-9pm",Jim Beam Black Manhattan - $15,? Yes,? Yes,? No,? Limit one per person,? Meat,? Substitute gluten free bun +$3.00,? No,? No
Creepy's,Bingo’s Bacon and Blue,"Potato bun, steak trim 100%beef patty, blue cheese spread, bacon and crispy fried onions",A down and dirty bacon blue cheese burger what else is needed besides a cold beer and a bunch of napkins.,"627 SE Morrison / Monday-Thursday 4pm-12am, Friday 4pm-2:30am, Saturday 2pm-2:30am, Sunday 2pm-12am",NA,? No,? No,? No,? No,? Meat,"? Yes, no charge for the bun, but will not have fried onion","? Yes, $1 for a beyond meat patty",? No
Crux Portland Pub,Hatch Chile Burger,"Flat-top burger topped with fire-roasted Hatch chiles, cotija cheese, roasted corn salsa and garlic aioli on a brioche bun.",NA,"2715 SE 8th Ave #175 / Tuesday-Thursday 11:30am-9pm, Friday 11:30am-10pm, Saturday 11am-10pm, Sunday 11am-9pm","Beam Orchard Twist - JIM BEAM® APPLE, CRANBERRY JUICE, SPLASH OF CLUB SODA, LIME WEDGE, OVER ICE",? Yes,? Yes,? No,? No,? Meat,? No,? No,? No
Culmination Brewing,The FOMO Teriyaki Burger with Grilled Pineapple,"The FOMO Teriyaki Burger with Grilled Pineapple will have grilled pineapple, go chu mayo, lettuce, provolone cheese, and fried onions","FOMO Kitchen Chef Sun Kim nailed it yet again! A grilled teriyaki burger with go chu mayo, provolone cheese, fried onions AND grilled pineapple – That’s straight up burger paradise right there!","2117 NE Oregon St / Tuesday-Thursday 3-9pm, Friday-Saturday 12-9pm, Sunday 12-8pm",NA,Yes,No,No,"Yes, limit 2 burgers per person",Meat,No,No,No
Dea's In & Out,Jala-Poppin Bacon-Jammin Longburger,"all beef patty, topped with smoked popper dip (cream cheese, jalapeno, & sauasage), Deep Fried Jalapenos, and our house-made Bacon Jam on a fresh baked bun","This delicious cheeseburger gets its flavors from finely chopped smoked jalapeño peppers, and when combined with cream cheese and sausage gives us an all-time favorite jalapeno popper spread. Paired with our house-made caramelized onion bacon jam, and that satisfying crunch of deep-fried jalapenos giving you that sweet and spicy kick that leaves your taste buds wanting more.","755 NE Burnside, Gresham / Monday-Thursday 11am-10pm, Fri-Sat 11am-12am, Sunday 11am-10pm","The origianl Jim Beam, featuring Dea's Wiskey Sour $8",? Yes,"? Yes, in house only, not through drive thru",? No,? No,? Meat,? No,? No,? No
Deschutes Brewery & Public House,Pretzel Be Jammin' Burger,"Pretzel Bun, Blueberry-habanero jam, whipped pretzel cheese, bacon","Inspired by our popular IPA Pretzel this burger has a house baked pretzel bun, sweet and spicy blueberry-habanero jam, crispy bacon, and a delicious cheese spread.","210 NW 11th Ave / Monday-Thursday 11:30am-9:30pm, Friday-Saturday 11:30am-10:00pm, Sunday 11:30am-9:30pm",NA,Yes,Yes,Yes,No,Meat,No,No,No
Duke's Public House,Hatch Chile Smash Burger,"Double Patty, Hatch Chiles, White Onion, White Cheddar, Bacon Jam, Mayo",NA,"506 A Ave, Lake Oswego / Monday-Wednesday 11:30am-9pm, Thursday-Saturday 11:30am-10pm, Sunday 11:30am-9PM",Jim Beam Whisky,? Yes,? No,? No,? No,? Meat,"? Yes, GF bun for an up-charge",? No,? No
Fuller's Burger Shack,Backyard BBQ Burger,"Grilled patty, BBQ sauce, American cheese, bacon & fried onion ring, with lettuce, tomato, pickle, and mayo.","Pioneer Mall: 700 SW 5th St. #1113 / Monday-Saturday 11am-7pm, Sunday 11am-6pm AND Cascade Station: 10131 NE Cascades Pkwy / 10:30am-8pm daily","Pioneer Mall: 700 SW 5th St. #1113 / Monday-Saturday 11am-7pm, Sunday 11am-6pm AND Cascade Station: 10131 NE Cascades Pkwy / 10:30am-8pm daily",NA,? Yes,? Yes,? No,? No,? Meat,? No,? No,? No
Fuller's Coffee Shop,"Fuller's Classic with Bacon, Egg & cheese","Fuller's classic burger with American cheese, fried egg, crispy bacon, lettuce, tomato, pickle, and mayo.",NA,"136 NW 9th Ave / Monday-Saturday 7am-2pm, Sunday 8am-2pm",NA,Yes,Yes,No,No,Meat,No,No,No
Gift Bar,Guacamole-Verde Burger,"Beef patty with pepperjack cheese, seared pit ham, fried onions, lettuce, and tomato jam, topped with guacamole-verde sauce on a classic sesame seed bun.","We wanted to keep it simple and delicious for this one, so we took a classic guacamole bacon burger, and made every component just little bit better.","1935 SE Hawthorne Blvd / Wednesday-Thursday 3pm-12am, Friday-Saturday 3pm-2am, Sunday 3pm-12am","Jim Beam, $8",? Yes,? Yes,? No,? No,? Meat,"? Yes, +$2",? Yes,? Yes
Gigantic Brewing,Fun on a Bun!,"Smashburger, American Cheese, Funyuns, Onion Cilantro Lime Relish, Chipotle Cilantro Lime Burger Sauce, Dos Hermanos Bun","Indulge in the ultimate flavor explosion with our Fun on a Bun! Our smashburger, oozing with melted American cheese, is topped with crunchy Funyuns, zesty onion cilantro lime relish, and a big kick of chipotle cilantro lime burger sauce, sandwiched between a perfectly toasted Dos Hermanos bun.","4343 SE Hawthorne Blvd / Monday-Thursday 3-10pm, Friday 3-11pm, Saturday 12-11pm, Sunday 12-10pm",NA,? Yes,? No,? No,? No,? Meat,"? Yes, +$2",? No,? No
Grand Fir Brewing,D*cks Tribute Burger,"Lettuce, tomato, American cheese, sweet relish and “Seattle” sauce",We are making a burger from brewmaster and owner Whitney Burnside’s Seattle childhood -from her beloved Dicks Drive In. We pay homage to the greatest Washington State burger there is!,"1403 SE Stark street / Monday 12-8pm, Tuesday-Saturday 12-10pm, Sunday 12-8pm",NA,Yes,Yes,Yes,No,Meat,Yes,"Yes, +$4","Yes, +$4"
Grays Restaurant and Bar,Turf & Chirp Burger,"Chicken Fried Beef Patty with Brie and Bacon Devilled Egg Salad, Roasted Jalapeno-Buttermilk Dressing, Lettuce & Tomato on a Sweet Hawaiian Bun",So many layers of flavors between the juicy chicken fried beef patty to the richness of the devilled eggs and the creamy spice in the jalapeno dressing.,301 West 6th Street / Monday - Sunday 11:00am - 9:30pm,Grays Fascinator Slushy with Jim Beam $8.00,Yes,Yes,No,No,Meat,No,No,No
Haymaker,Fundido Burger,"1/4lbs Black Angus beef, queso fundido, chorizo & poblano sauce, romesco",We were craving melty queso Oaxaca and thought the classic Tex-Mex cheese dip would be a killer burger. Sauce made with queso Oaxaca & mozzarella. And then a rich chorizo pepper sauce on top for some lite heat!!!,1233 N Killingsworth / Monday-Saturday 3-8pm,"$7 Hornitos Slushies all week, $8 Jim Beam Black and Makers Mark shots, as well as JB Black and Makers Mark cocktails always available.",? Yes,? In person only,? No,? No,? Meat,"? Yes, +$2","? Yes, +$2",? No
Hit the Spot,Hatch Green Chili Breakfast Burger,"Our classic single cheese burger (which has pickle, onion, lettuce, tomato & Spot Sauce) with bacon, one farm-fresh fried egg, and a delicious Hatch Green Chili salsa.","This scrumptious and flavorful Hatch Green Chili Breakfast Burger is the official introduction to our up-and-coming breakfast menu (launching on Monday, 8/26/24)!",676 SE Morrison St / Monday-Saturday 11am-9pm,NA,Yes,Yes,We'd love to prioritize our dine-in and take-out customers in case we sell out.,No,Meat,No,No,No
"Home, A Bar",It's a Messi Burger,"1/4 beef burger, pickles, Swiss cheese, cheese flavored potato sticks, arugula Chimichurri, red onion, tomato, garlic aioli, sesame seed bun","The most accomplished burger in the world! It’s a Messi Burger. Inspired by the dynamic flavors of Chimichurri, an Argentinian staple, and the greatness of Messi. The burger exudes exquisite flavors, but with a HOME BAR twist. You Belong Here.",719 SE Morrison St / Monday-Saturday 11am-11pm,Jim Beam Bourbon,? Minors allowed until 5pm,? No,? No,? No,? Meat,? No,? No,? No
Hop City Tavern,Stumptown Blaze,"Potato bun, 100% Angus beef patty, Gouda cheese, bacon and pineapple jam, beer battered pickles, bittersweet coleslaw, avocado-lime aioli",NA,921 SW 6th Ave / Daily 12-10:30pm,Jim Beam $10,? Yes,? No,? No,? No,? Meat,? No,? No,? No
Hopworks Brewery,Kimcheeseburger,"Grass-fed beef patty, kimchi, hazy IPA-infused mango chutney, bacon, feta and lettuce.","Try something different at Hopworks with our Kimcheeseburger! This Asian-fusion delight features a juicy burger topped with tangy, spicy kimchi, creating a unique flavor explosion.",2944 SE Powell Blvd / Daily 11:30am-10pm,NA,? Yes,? Yes,? No,"? Yes, 1 per customer",? Meat,? No,"? Yes, +$2 to sub Impossible patty",? No
Hunny Beez,Hunny Beez Spam Burger,"Sriracha Mayo, cilantro, fried Spam, mango slaw, 1/3lb burger patty, cabbage, & Sweet Chili Mayo",Spam is an incredibly popular item on our menu so we wanted to incorporate it into this special burger. And our Mango slaw has been a signature item on our menu since we started 5 years ago.,"1434 SW Park Ave / Monday-Saturday 11am-9pm, Sunday 11am-7pm",$12-$18,Yes,Yes,"Yes, thorugh HunnyBeezPDX.com, DoorDash, GrubHub, and UberEats",No,Meat,No,No,No
Kells Brewery,Patty Perfection,"100% angus beef patty, tomato, lettuce, onion, American cheese, secret sauce on bun","Timeless classic, what's not to love about the tastes of nostalgia","210 NW 21st Ave / Monday-Friday 12-10pm, Saturday-Sunday 11am-11pm",Toki $7,? Yes,? No,? No,"? Yes, 1 per person",? Meat,? No,"? Yes, +$5",? No
Killer Burger,Epic Burger,"Loaded with pulled pork, BBQ Sauce, southern style sweet vinegar slaw, Monterey jack cheese, grilled onions, house sauce, and of course, bacon.",Killer Burger is bringing back an old school KB cult classic with the EPIC burger. Inspired by a bad*ss roadtrip across the south. It's a messy one but it will make up for it in flavor. Enjoy it with a cold $2 PBR at the DT PDX Killer Burger!,510 SW 3rd Ave / Daily 10:30am-9pm,NA,Yes,Yes,Yes,No,Meat,No,No,No
Lariat Lounge,Pepperhead,"Rose City Pepperheads Mango Madness pepper jam, house made bacon jam, pepperjack cheese, deep fried jalapeños, and green leaf lettuce.","Collaborating with Rose City Pepperheads, we combined their farm to jar Mango Madness pepper jelly with our house made bacon jam to create this sweet and spicy burger. Topped with pepper jack cheese, green leaf lettuce, and deep fried jalapeños.","17238 SE Division St / Mon-Thurs 11am-11pm, Fri 11am-12am, Sat 12 pm–12 am, Sun 12 pm –11 pm",Blueberry Whiskey Lemonade $7,? No,? Yes,? No,? No,? Meat,? No,"? Yes, +$1",? No
Lazy Days Brewing,Curry-osity Killed the Burger,"Five-spice seasoned beef patty smothered in Thai red curry sauce, with a sweet chili & Thai basil jam, topped with cilantro on a toasted bun.","""I leaned on Thai flavors pretty heavily to make a burger that was easy to execute but packed a ton of flavor. This addictive burger can be easily made vegan by substituting an Impossible patty (for an additional upcharge). My goal with most everything I do here at Lazy Days is to make food that can easily accommodate different dietary restrictions. I believe that making food more accessible is an extension of inclusivity. I want to feed everybody!"" -Chef Kira Lovelace, Lazy Days Brewing Co. PDX","2326 N Flint Ave / Monday-Thursday 3-9pm, Friday-Saturday 12-10pm, Sunday 12-9pm",Featured Cocktail! Kachumber Cooler $12 - A refreshing Cucumber gin Collins featuring Roku Gin. Shot/Beer Special! $10 Jim Beam Bourbon shot and a 10oz Lazy Days Draft Beer!,Yes,No,No,No,Meat,No,"Yes, +$4 for an Impossible Patty","Yes, +$4 for an Impossible Patty"
Lo's Burgers,Quesabrosa Burger,"Onions, Lo’s Sauce, Smash Patty, fried queso Oaxaca, salsa roja, and Carnitas from Quesabrosa","We’ve teamed up with our new neighbors, and the seminal Mexican food cart, Quesabrosa, to create one of our tastiest burgers yet. Quesabrosa makes THE BEST carnitas in PDX and we couldn’t be more excited to share this collaboration with you all!",3944 N Williams Ave / Monday-Thursday 12-9pm,NA,? Yes,? Yes,? No,? No,? Meat,? Yes,"? Yes, for an additional $3",? No
Loyal Legion,Get Figgy With It,"Fig jam, goat cheese, caramelized onions, ¼ pound beef patty, layered between a toasted brioche bun.","Fig jam, creamy goat cheese, and carmelized onions combine to create a sweet, tangy, and juicy burger from our Head Chef Josiah. Even slapped by the powerful force of this flavor combination, you won't be able to keep it out of your mouth!","710 SE 6th Ave / Monday-Thursday 12pm-12am, Friday-Saturday 12pm-2am, Sunday 12pm-12am",Jim Beam Black - $4,? Minors are allowed until 8pm every day of the week.,? No,? No,? 1 per person,? Meat,? Gluten free bun is available for $2,? No,? No
Makulít,"The Hello, Goodbye, I love You Burger","Our signature longanisa patty w/ cheese, shredded lettuce, grilled pineapple, and a dollop of in-house bacon-flavored Lady's Choice sandwich spread in between a toasted Franz bun",We're feeling jolli this Burger Week. Will you be jolli with us? 🥹 👉🏽👈🏽,1015 SE Stark St / Tuesday-Sunday 12-3pm & 5-9pm,NA,Yes,Yes,e might turn off apps depending on traffic and encourage people to come through (say hi).,No,Meat,No,No,No
Mayrose Restaurant and Bar,The New Northwest,"Brioche bun, ground chuck patty, smoked Tillamook cheddar, balsamic glazed mushrooms, crispy onions, fresh baby arugula, maple bacon, homemade pimento spread",NA,545 SW Taylor St / Tuesday-Saturday 5p-9pm,Maker's Mark $12,? Yes,? No,? No,? No,? Meat,? No,? No,? No
MidCity SmashedBurger at BinaryBrewing.co,Sooner Boi,"Two, 2oz All Beef Patties, American Cheese, Onions and our famous SmashSauce served on a Franz Bakery Bun!","Our Classic Smashy Boi served Oklahoma Fried Onion Style! Inspired by our culinary burger hero, George Motz. We take a handful of razor thin white onions and smash directly into the patty creating a caramelized, juicy, crispy burger eating experience! Yee-Haw!","/ Closed Mon, Tuesday-Thursday 12-8pm, Friday-Saturday 12-9pm, Sunday 12-8pm",NA,Yes,Yes,No,No,Meat,+$3 for GF Bun,+$3 for Beyond Beef Patties,+$3 for Beyond Beef Patties
Migration Brewing,Some Like It Hot,"Smash patty, Tilamook pepper-jack cheese, sautéed mushrooms & Serrano peppers, pickled red onions, chipotle mayo, on a brioche bun",This will be the burger to write home to mom about.,"3947 N Williams Ave / Tuesday-Thursday 2-9pm, Friday-Saturday 12-10pm, Sunday 12-8pm",,? Yes,? No,? No,? No,? Meat,? No,? No,? No
Migration Brewing Co.,"Romesco, Romesco, Where Art Thou Romesco","Smash patty with melted munster cheese, romesco sauce, grilled fennel and green onions, lemon roasted kale, brioche bun",Everything is Better w/Romesco,"2828 NE Glisan St / Monday-Thursday 12-9pm, Friday-Saturday 12-10pm, Sunday 12-9pm",,? Yes,? No,? No,? No,? Meat,? No,? Yes,? Yes
Mirisata,The Lankan Burgher,"Impossible spiced frikkadel patty, wambattu moju spread (pickled eggplant), seeni sambal (tamarind sweet onions), ash plantain chips, Chao cheese, and vegenaise. Medium-spicy.","The Lankan Burgher is inspired by ""lamprais"" - a famously decadent dish made by Sri Lanka's Burgher community. Burghers are the descendants of Dutch colonizers and their Sri Lankan wives, and lamprais is a marriage of Dutch and Sri Lankan cuisines. For our burger, we sacrifice the main ingredient (rice) for a bun, but the tried and true flavor combinations shine through just the same.","2420 SE Belmont St / Monday-Thusday 11am-9pm, Friday 11am-10pm, Saturday 10am-10pm, Sunday 10am-9pm",NA,? Yes,? Yes,? No,? We reserve the right to limit orders to two per person,? Vegan,? No,NA,NA
Moreland Ale House,Smoked Gouda Bacon Jam Burger,Angus beef patty with smoked Gouda cheese topped with bacon maple Serrano jam. Served on a Grand Central brioche bun with shedded lettuce and a touch of mayo.,Savory sweet and salty!! This burger has it all with a touch of heat on the backside.,"7995 SE Milwaukie Ave / Monday-Friday 3-11pm, Saturday-Sunday 1:30-11pm",Cruzan rum punch @ $9,inors until 10pm,No,No,No,Meat,No,No,No
Next Level Burger,Truffle Honey Chik'n Burger,"Crispy chik'n filet, white truffle vegan honey, smoky tempeh bacon, organic lettuce, ripe red jalapeno mayo on an organic white bun. $11.45 560 calories | 20g protein (contains: soy, wheat, coconut)","Our fans went crazy for our limited-time Truffle Honey Chik'n Burger this spring, so we're bringing it BACK at the exclusive Portland Burger Week price just for Portland Burger Week!",4121 SE Hawthorne Blvd AND 1972 W Burnside /,"Hawthorne: Monday-Thursday 11am-10pm, Friday-Sat 11am-11 pm, Sunday 11am-10pm, West Burnside: Daily 11am-10pm",Yes,Yes,Available via our native app,No,Vegan,No,NA,NA
Nick's Famous Coney Island,Walter White,"Hatch green chili, American cheese, shredded lettuce, tomato and onion on 100% Angus beef",One of bartenders is from New Mexico so we thought a green chili burger and W.W. would be a good fit!,"3746 SE Hawthorne Blvd / Monday-Thursday 12-8pm, Friday-Saturday 12-10pm, Sunday 12-8pm",Montucky with a shot of Jim Beam Black $9,? Yes,? No,? No,? No,? Meat,? No,? No,? No
Nom Nom Wings,Pho Smash!!,"Beef pattie, swiss cheese, pickled onion and bean sprouts, jalapeños, hoisin sauces, sriracha, basil, bone marrow infused mayonnaise","Is it Pho? Is it a burger? It’s the Pho smash! Inspired by the #1 Vietnamese comfort food. Come and try the rich, aromatic, and one of a kind burger!","524 NW 14th Ave / Tuesday-Wednesday 11:30am-9pm, Thursday-Saturday 11:30am-10pm, Sunday 11:30-9pm",NA,Yes,No,No,No,Meat,No,No,No
Northport,The Robbie,"Porkbelly, mole rojo, sweet potato crisps, brioche bun, grilled onions, crema fresca","Is freaking deliciosa, the texture combination and the different flavor profiles will blow your brains out",8103 N Denver Ave / Monday-Sunday 11am-8pm,NA,? Yes,? No,? No,? No,? Meat,? Yes gf bun sub for $3 up-charge,? No,? No
Pacific Standard,Walla Walla Onion Burger,"Revel Meat Co. beef patty, Walla Walla onion ring, and Walla Walla onion bacon jam, topped with Tillamook white cheddar, on a potato roll","Pacific Standard's Walla Walla Burger is a love letter to Oregon and Washington. It features a Revel Meat Co. beef patty topped with a crispy Walla Walla onion ring and Walla Walla onion bacon jam, celebrating the bounty of Pacific Northwest flavors.",100 NE MLK Boulevard / Monday-Sunday 3pm-12am,Suntory whisky,? Yes,? No,? No,? No,? Meat,? No,"? Yes, +$2",? No
Pambiche,Frita Cubana,"Seasoned Pork and Beef Burger basted in Beef Tallow, Minced Red Onions, Crispy Potato Sticks, Toasted Cuban Bun, Smokey Mojo Ketchup, Garlic Mojo Mustard","The Frita Cubana is a juicy, well-seasoned pork and beef burger, basted in beef tallow and served on a bed of minced red onions, then piled high with crisp potato sticks and served on a toasted Cuban bun that is slathered in our smokey mojo ketchup and garlic mojo mustard.",2811 NE Glisan Street / Wednesday-Sunday 11am-10pm,Cruzan Collins $10,Yes,Yes,Yes,No,Meat,No,No,No
Paper Plane,Patty Melt,"Beef Patty, Caramelized Onions, Cheddar, Burger Sauce on Texas Toast.","We couldn't decide between a burger or a grilled cheese sandwich for lunch, so we thought we'd have both. Throw on some caramelized onions and our secret sauce and you have our new favorite burger.","2216 SE 50th Ave / Monday-Thursday 11am-8:30pm, Friday 11am-9pm, Saturday 10am-9pm, Sunday 10am-8:30pm",NA,? Yes,? Yes,? No,? No,? Meat,? No,? Yes,? No
Paymaster Lounge,Peperonata Crunch Burger,"house pickled jalapeño, sautéed onion & bell peppers, bbq potato chips, American, mayo, smashed patty",Sweet-spicy-crunchy-salty goodness on a preservative free potato bun made with Creekstone hormone free humanely raised 100% ground chuck. We built this burger around our house pickled jalapeños and wound up with quite a tasty surprise!,"1020 NW 17th Ave / Monday 4pm-12am, Tuesday-Saturday 2pm-2:30am, Sunday 4pm-12am",burger week burger with a shot of Jim Beam $12,? No,"? Yes, 50¢ surcharge for carry out container",? No,? No,? Meat,"? Yes, gluten free bun +$3 surcharge",? No,? No
Plumb at Deadshot,French Onion Brie Burger,"Pat-n-tams beef, red wine demi-glace caramelized onions, melted brie, pickle aioli, and dijon.","Wanted to keep it classic, simple and delicious. Making a traditional beef demi-glace fortified with red wine and brandy allows us to pack a lot of extra flavor into the caramelized onions. The combo of beefy onions and brie reminds me of french onion soup in a great way.",2133 SE 11th Ave / Monday-Saturday 4-11:15pm,NA,? No minors after 8pm,? Yes,? No,? No,? Meat,? No,? No,? No
Podnah's Pit Barbecue,Smoked Pimento Cheeseburger,"Smoked ground brisket patty, smoked tomato pimento cheese, house made pickles",Smoky & rich with a little kick. This burger tastes like the smell that hits you as you walk through Podnah's front door and tastes like home.,1625 NE Killingsworth St / Monday-Sunday 12:00-8:00pm,NA,? Yes,? No,? No,? No,? Meat,? No,? No,? No
Ponderosa Lounge & Grill,Smoky Gouda Bacon Burger,"Bacon, Gouda cheese, two onion rings, a 1/3 lb patty, ranch, lettuce, tomato, pickle, and on a potato bun","Clearly, this meaty masterpiece is a showstopper with its crispy bacon, crunchy onion rings, and smoky Gouda. Grab an Old Fashioned to top it all off!","10350 N Vancouver Way / Monday-Wednesday 9am-12am, Thursday-Friday 9am-2am, Saturday-Sunday 8am-2am",NA,? No,? No,? No,? No,? Meat,"? Yes, without the onion ring",? No,? No
Portland Burger,Kryptonite: 3 Doors Down (from Harvey Milk BLVD),"“If I go crazy, will you still call me Superman?” Coffee-Rub Crusted 1/3lb Beef Patty, Fresh and Locally Sourced, Topped With Melted Sharp, White Cheddar, Chef Mark’s Coveted “KRYPTONITE” (Mint-Chimichurri Sauce) and His “Often Imitated, Never Duplicated” Smokey Tomato Salsa, Steakhouse Aioli, Bacon, Crispy Onion-Straws, Lettuce and House Sauce. Served on a Toasted Portland French Pub Bun. “I’ll Keep You By My Side with My Superhuman Might, Kryptonite”","""I took a walk around the world to ease my troubled mind I left my body lying somewhere in the sands of time."" The party starts when you walk through the door and order your ""LINE BEER"" (Yeah, that means a BEER, while you're in-line), shake, smoothie, or soda. Also, order a ""KRYPOTONITE"" burger and receive a BOGO for your next visit.",304 SW 2nd Ave / 11:00am-8:00pm Daily,"JB shot: $7, JB Strawberry Smoothie $11",Yes,Yes,No,No,Meat,"Made without bun and Crispy-Fried Onions=GF, no surcharge",Sub Impossible patty +$3,Sub Impossible patty +$3
