restaurant,pizza,toppings,description,address,hours,meat_veggie,slice_pie,minors,takeout,delivery,purchase_limit,available_limit,notes
Fino Bistro & Pizzeria,100 x 35,"Creole-style sauce (aka salsa criolla), mozzarella, ripe plantains, and spicy cilantro chimichurri","Bringing you a slice all the way from the island! Our chef, Neishma Balaguer Sagarida, is a Puerto Rican native and wanted to feature the 100 x 35 (measurements of Puerto Rico) on a pizza. You’ll easily be transported to sunshine, sandy beaches, and warm waters after just one bite. Travel north to indulge in our NY-style pizzas, house made pasta, and seasonal cocktails. We can’t wait to see you!",8225 N Denver Ave,"Monday–Thursday 11:30 am–9 pm, Friday–Saturday 11:30 am–10 pm, Sunday 11:30 am–9 pm",Vegetarian,By the Slice,Yes,Yes,No,Yes - 2 slices per person,No,
Gladstone St. Pizza,Nonna Gracie's Lasagna ,"Savory tomato and vegetable sauce, topped with layer upon layer of spinach, ricotta, and mozzarella cheese.","Just like lasagna, pizza is good for you. Our chewy and charred crust is topped with layers of cheese and vegetables. It's delicious and nutritious. ",3813 SE Gladstone St,"Monday–Wednesday 4–10 pm, Thursday–Saturday 4–11 pm, Sunday 4–9 pm",Vegetarian,Both,"No minors in the lounge after 9 pm, all ages seating on the heated patio until closing.",Yes,No,"Limit 2 slices per person, 2 whole pies per order.",Yes - our kitchen size limits our production capacity to about 60-70 pies a day.,
Love Verona Pizza/Pasta & Bottega,Ace ‘Rose Pie,"100% tomato sauce, Asiago cheese, imported Gorgonzola, sweet fig preserve, prosciutto, Romano cheese, house-made balsamic glaze ","We are always looking to satisfy customers with our fresh ideas and delicious dishes. Our recipes has been around many years dating back to our family restaurants in Italy, Greece, and Bulgaria. ",540 SW College St,11 am–10 pm daily,"Meat, Vegetarian",Both,Yes,Yes,Yes,No,No,
Love Verona Pizza/Pasta & Bottega,Ace ‘Rose Pie,"100% tomato sauce, Asiago cheese, imported Gorgonzola, sweet fig preserve, prosciutto, Romano cheese, house-made balsamic glaze ","We are always looking to satisfy customers with our fresh ideas and delicious dishes. Our recipes has been around many years dating back to our family restaurants in Italy, Greece, and Bulgaria. ",8436 N Ivanhoe St,11 am–11 pm daily,"Meat, Vegetarian",Both,Yes,Yes,Yes,No,No,
Meta Pizza,Cheeked Up,"Braised beef cheek Bolognese, basil aioli, Parmigiano Reggiano ","Beef cheeks are one of my favorite things to braise, and a rich Bolognese base is perfect for them. The addition of an old-school basil aioli and shaved Parm brings this hearty slice to the next level. I haven't put a Bolognese on a menu in a while, and was really happy with how well it works as a pizza topping. There are a handful of traditional pasta sauces that make great toppings, and this is one of them! ",3541 SE Milwaukie Ave,Tuesday–Sunday 3–9 pm,Meat,Both,Yes,Yes,"Yes - DoorDash, UberEats and Grub Hub",No,No,
Mississippi Pizza Pub and Atlantis Lounge,Buttnut Strut,"The base is a spiced sage butternut squash sauce, coated with a nutritional yeast layer, topped with zucchini, lemon pepper cauliflower, and a three mushroom blend. ","Pizza has endless possibilities, but most people choose the basics. One goal Mississippi Pizza has is to make cheeseless/meatless pizzas shine. Pizza isn't just meat and cheese. It's a delicate balance of the right flavor combinations. In life we need that balance as well. Pizza can fit that vibe, so healthy and delicious, it will make you Strut. ",3552 N Mississippi Ave,"Monday–Thursday 11 am–11 pm, Friday–Saturday 11 am–12 am, Sunday 11 am–11 pm",Vegan,Both,Yes,Yes,No,"Yes - 4 slices per customer, and 2 whole pies max per customer",NA,
Oakshire Beer Hall,Max's Chicken Tinga Pizza,"Chipotle lime cream sauce, mozzarella, tinga chicken, pickled onion, queso fresco, cilantro","Our Chicken Tinga Pizza was created by our beloved employee, Max Doyle. When Max was asked to come up with a pizza special, he was inspired to recreate one of his favorite foods, the street taco, in pizza form. We might be biased, but we think Max nailed taco meets pizza with his Chicken Tinga Pizza! ",5013 NE 42nd Ave,"Monday–Sunday, 12–9:30 pm",Meat,Whole Pie,Yes,Yes,No,No,Yes - 20 pies,
Old Town Brewing,La 'Zagna,"Mornay Sauce base with mozzarella, meaty Bolognese, and ricotta, topped with fresh basil and shredded Parmesan","Spring’s the last chance to desecrate your body with too much cheese before you get working on your summer abs. Our La ’Zagna slice has Mornay sauce, meaty Bolognese, basil, and, of course, mozzarella! Ricotta! Parm! Hurry in and wolf down a slice before someone says “detox” and ruins your day.",5201 NE Martin Luther King Jr Blvd,"Monday–Thursday 4–9 pm, Friday 3–9 pm, Saturday 12–9 pm, Sunday 4–9 pm",Meat,By the Slice,Yes,Yes,No,"2 Slices per person, per transaction.",No,
Paladin Pie,The Bite of the Valkyries,"Beyond Swedish meatballs, Parmesan cream, lingonberry sauce, and fresh dill.","Just like IKEA, except we're assembling it for you, and it tastes much better. A rich vegetarian pie inspired by Scandinavian cuisine, it will send you straight to Valhalla (which is what the Old Norse called Flavortown).",2231 NE Alberta St,"Tuesday–Thursday 4–9 pm, Friday–Sunday 12–10 pm",Vegetarian,Both,Yes,Yes,No,"Two slices per person, no limit on whole pies. Slices only available for walk-up.",No,
Dante's Pizza Slut,Ballz Deep,Classic meatball pie,We bang your mouth hard!,1 SW 3rd Ave,11 am–2:30 am daily,Meat,Both,Minors will be served at the pizza window on 3rd,Yes,No,No,No,
Red Sauce Pizza,The Famous Cold Cheese Pizza,"Cheese pizza with red sauce, shredded mozz, and fresh mozz. After it cooks, it's finished with cold shredded mozz so you can enjoy!","This is a pizza trend out of the Midwest. Finishing the pizza with cold, shredded mozz allows you to enjoy the pizza without burning your mouth! ",4641 NE Fremont St,"Monday–Thursday 4–8 pm, Friday–Saturday 4–8:30 pm, Sunday 4–8 pm",Vegetarian,Whole Pie,Yes,Yes,Yes,No,No,DoorDash is our delivery app. We also have a mandatory 20% gratuity.
Rudy’s Pizza,Rudy’s Princess Peach Pizza,"Rudy’s housemade red sauce topped with spicy vegan sausage, grilled onion, chopped peaches, and a three cheese blend (can be made with meat, vegetarian, or vegan)","Inspired by the upcoming ""Super Mario Bros. Movie"" out this spring, we created Rudy’s Princess Peach Pizza to be a delicious pizza to take you back to your childhood days!",2443 SE Powell Blvd,"Monday–Thursday 12–11 pm, Friday–Saturday 12 pm–12 am, Sunday 12–11 pm",Vegan,Whole Pie,Yes,Yes,"Yes - DoorDash, Uber Eats and GrubHub",No,No,
Signal Station Pizza,Where Have Reuben All My Life ,"A slightly sweet spicy mustard sauce with caraway seeds topped with mozzarella cheese, corned beef, sauerkraut, and sliced Swiss, topped with a Russian dressing. ","Our take on a classic, we’ve finally found what’s been missing! It’s this tasty pie! ",8302 N Lombard,"Monday–Thursday 11:30 am–8:30 pm, Friday–Saturday 11:30 am–9 pm, Sunday 12–8 pm",Meat,Both,Yes,Yes,No,Yes - 2 slices per person,NA,
Sizzle Pie,Tajin Clasico,"Olive oil base, signature cheese blend, pineapple, red onion, fresh mozzarella, and green onion with a dusting of Tajin","The Tajin Clasico has a bright citrusy taste with a subtle chile flavor over pineapple and fresh mozzarella! A little bit savory, a little bit sweet with just a touch of heat.",949 SW Oak St,"Monday–Wednesday 11 am–10 pm, Thursday–Saturday 11 am–midnight, Sunday 11 am–10 pm",Vegetarian,Both,Yes,Yes,Yes,No,No,
SFNY Hawthorne,Fowl Play,"Fried chicken, bacon, pickles, red cabbage, spicy maple dressing, and red pepper flakes","Everyone was shocked when Old McDonald passed away under suspicious circumstances. Astonishingly, he posthumously gifted us this recipe—now we’ve been working around the cluck! With fried chicken, bacon, pickles, red cabbage, spicy maple dressing, and red pepper flakes, there’s one thing we can say for sure — it tastes like chicken.",3701 SE Hawthorne Blvd,"Monday–Thursday 11 am–11 pm, Friday–Saturday 11 am–midnight, Sunday 11 am–11 pm",Meat,Both,Yes,Yes,No,Yes - Max 2 slices per person,No,"14"" whole pies available to order on our website, or by phone (phone lines may be busy)"
SFNY Belmont,Mushroom: Impossible — Ricotta Protocol,"Shiitake mushrooms, asparagus, Castelvetrano olives, ricotta, and green goddess dressing","Welcome back, Pizza Week. In your absence, SFNY has learnt that there are many covert ways to a delicious pie. This pizza ~should you choose to accept it~ will include shiitake mushrooms, asparagus, Castelvetrano olives, ricotta, and green goddess dressing. As always, we won’t disavow you or any members of your team, but be warned: Your taste buds may self-destruct.",3330 SE Belmont St,"Monday–Thursday 11 am–midnight, Friday–Saturday 11 am–2 am, Sunday 11 am–midnight",Vegetarian,Both,Yes,Yes,No,Yes - 2 slices per person,No,"14"" Whole Pies available to order on our website or by phone (phone lines may be busy)"
Sunny's Pizza,Kalua-Inspired Shredded Pork Hawaiian ,"Tomato sauce, smoked mozzarella, Kalua-inspired shredded pork, sweet onions, fresh pineapple, green onions, and house-made huli-huli drizzle.",A little taste of Island-inspired sunshine during the rainy Pacific Northwestern spring. This is not the Hawaiian pizza you grew up with!,7738 SE 13th Ave,"Monday–Thursday 4–8 pm, Friday–Saturday 12–9 pm, Sunday 12–8 pm",Meat,By the Slice,Yes,Yes,Yes,No,No,
Tartuca,Highway Raabery,"Broccoli raab, confit garlic, mozzarella, pecorino, garlic oil","This week will be our first anniversary of being on Mississippi, and what better way to celebrate a trip around the sun than Pizza Week! We went with a classic take on a broccoli rabe, confit garlic pie, finished with garlic oil and pecorino. We are a farm-to-table Italian restaurant that focuses on local ingredients, inventive cocktails, and fine, but approachable wine. Come for the pizza, stay for all of the wonderful fun to be had on Mississippi!",3951 N Mississippi Ave,"Monday–Thursday 4–9 pm, Friday–Saturday 11:30 am–2:30 pm (we are not offering it on Friday or Saturday night dinner service, it's just too busy!), Sunday 11:30 am–2:30 pm, 4–9 pm",Vegetarian,Whole Pie,Yes,Yes,No,Yes - 1 pie per party,Yes,
Taylor Street Tavern,The Swine,"Slab bacon, shredded pork, caramelized onions, and BBQ sauce with house-made marinara and shredded mozz",Our inspiration for this pie is mostly our Swine Whiskey Bar and how it would pair well with something peated.,808 SW Taylor St,Tuesday–Saturday 5–10 pm,Meat,Whole Pie,Yes,Yes,No,No,No,
The Blind Onion,The Sammy Special,"Spinach, bacon, mushrooms, Roma tomato, and garlic","For our first time at Pizza Week, we decided to go with a crowd-pleaser: The Sammy Special! Named after the girl who created it, this pie is designed to be a well-balanced meal, if not a bit indulgent ;) Ask for a side of the Good Sauce if you’re feelin’ fancy!",6031 SE Belmont St,"Monday–Thursday 11 am–10 pm, Friday–Saturday 11 am–11 pm, Sunday 11 am–10 pm",Meat,Both,Yes,Yes,No,No,No,
Secret Pizza Society,Xanadu,"All-organic mac sauce, blanched broccoli, and Cajun jackfruit ","""Much beauty is in the swamp, if you only look"" -Swamp ThingPreconceived notions have not caught up to the reality of amazing vegan pizza...It's easy to say this Cheesy-Broc Cajun-Jackfruit pizza will blow your mind... but that doesn't do it justice...Walk Amongst the Beauty with Us",7201 NE Glisan St,"Monday–Thursday 12–9 pm, Friday–Saturday 1–10 pm",Vegan,Both,Yes,Yes,No,Yes - 2 full pie limit per customer,No,
Via Chicago,Moroccan Lemon,"Preserved lemons, ricotta, hot honey",Delicious vegetarian! Refreshing lemon and smooth ricotta with a touch of spice!,2013 NE Alberta,"Monday 12–8 pm, Tuesday–Thursday 12–9 pm, Friday–Saturday 12–10 pm, Sunday 12–8 pm",Vegetarian,By the Slice,Yes,Yes,No,Yes - Two slices per person,No,
Virtuous Pie,Pepper Ann,"San Marzano tomato sauce, cashew mozzarella, vegan sausage, pickled red peppers","Our Pepper Ann pizza is a blast of 2000s after-school cartoon-watching, pizza-snacking nostalgia, but better! The Pepper Ann is an all-vegan pie hand-tossed and topped with a slew of scratch- and house-made ingredients including our San Marzano tomato sauce, Italian sausage, and cashew mozzarella cheese. ","1126 SE Division St, Suite 200","Monday–Thursday 11 am–10 pm, Friday–Sunday 11 am–11 pm",Vegan,By the Slice,Yes,Yes,No,No,No,
Von Ebert Brewing Pizzeria & Taproom,Smoked Pork Belly Enchilada Pie,"House enchilada red sauce, smoked pork belly, red onion, cheddar cheese, avocado crema, and cilantro","We wanted to combine one of our house-smoked meats with one of our favorite foods, burritos. After the meeting of the minds, here is what we came up with!",1800 NW Cedar Falls Dr,"Monday–Thursday 11:30 am–9 pm, Friday–Saturday 11:30 am–10 pm, Sunday 11:30 am–9 pm",Meat,Both,Yes,Yes,No,No,No,
Von Ebert Brewing Pizzeria & Taproom,Baked Potato with Smoked Pork Belly Pie,"Potato, cheddar and mozzarella cheeses, smoked pork belly, green onion, and crema ",This was the inspiration of our GM at Cascade and his love of baked potatoes (and pizza). We kept the house-smoked meat theme here and elevated our baked potato pie with pork belly!,10111 NE Cascades Pwky,11 am–9 pm daily,Meat,Both,Yes,Yes,No,No,No,
Wild Child Pizza,Mexican Street Corn,"Roasted garlic crema, grilled sweet corn, pickled red onions, cilantro, and mozzarella, finished with cotija and ground ancho chili powder.","The Mexican Street Corn pizza features our newly famous crispy crust, topped with roasted garlic crema, melted cotija cheese, grilled corn, and pickled red onions, finished with cilantro and ancho chili powder. This pizza is bursting with bold and tangy flavors and is a true feel-good recipe!",2032 NE Alberta St,"Monday–Thursday 3–9 pm, Friday–Saturday 3–10 pm, Sunday 3–9 pm",Vegetarian,Both,Yes,Yes,No,No,No,
Wild Child Pizza,Mexican Street Corn,"Roasted garlic crema, grilled sweet corn, pickled red onions, cilantro, and mozzarella, finished with cotija and ground ancho chili powder.","The Mexican Street Corn pizza features our newly famous crispy crust, topped with roasted garlic crema, melted cotija cheese, grilled corn, and pickled red onions, finished with cilantro and ancho chili powder. This pizza is bursting with bold and tangy flavors and is a true feel-good recipe!",2309 NW Kearney St,"Monday–Thursday 3–9 pm, Friday–Saturday 3–10 pm, Sunday 3–9 pm",Vegetarian,Both,Yes,Yes,No,No,No,
